PropertyType,NumberofRoom,Location,2008,2009,2010,2011,2012,2013,2014,2015
Detached house,Two bed,Dublin,1534.52,1466.8,1388.72,1390.1,1401.62,1419.13,1429.16,1503.2
Detached house,Two bed,"Balbriggan, Dublin",0,0,0,0,0,0,0,0
Detached house,Two bed,"Blackrock, Dublin",0,0,0,0,0,0,0,0
Detached house,Two bed,"Booterstown, Dublin",0,0,0,0,0,0,0,0
Detached house,Two bed,"Cabinteely, Dublin",0,0,0,0,0,0,0,0
Detached house,Two bed,"Citywest, Dublin",0,0,0,0,0,0,0,0
Detached house,Two bed,"Dalkey, Dublin",0,0,0,0,0,0,0,0
Detached house,Two bed,"Donabate, Dublin",0,0,0,0,0,0,0,0
Detached house,Two bed,"Dun Laoghaire, Dublin",0,0,0,0,0,0,0,0
Detached house,Two bed,"Glenageary, Dublin",0,0,0,0,0,0,0,0
Detached house,Two bed,"Howth, Dublin",0,0,0,0,0,0,0,0
Detached house,Two bed,"Killiney, Dublin",0,0,0,0,0,0,0,0
Detached house,Two bed,"Kinsealy, Dublin",0,0,0,0,0,0,0,0
Detached house,Two bed,"Lucan, Dublin",0,0,0,0,0,0,0,0
Detached house,Two bed,"Lusk, Dublin",0,0,0,0,0,0,0,0
Detached house,Two bed,"Malahide, Dublin",0,0,0,0,0,0,0,0
Detached house,Two bed,"Monkstown, Dublin",0,0,0,0,0,0,0,0
Detached house,Two bed,"Mount Merrion, Dublin",0,0,0,0,0,0,0,0
Detached house,Two bed,"Portmarnock, Dublin",0,0,0,0,0,0,0,0
Detached house,Two bed,"Rathcoole, Dublin",0,0,0,0,0,0,0,0
Detached house,Two bed,"Rush, Dublin",0,0,0,0,0,0,0,0
Detached house,Two bed,"Saggart, Dublin",0,0,0,0,0,0,0,0
Detached house,Two bed,"Sandycove, Dublin",0,0,0,0,0,0,0,0
Detached house,Two bed,"Shankill, Dublin",0,0,0,0,0,0,0,0
Detached house,Two bed,"Skerries, Dublin",0,0,0,0,0,0,0,0
Detached house,Two bed,"Stepaside, Dublin",0,0,0,0,0,0,0,0
Detached house,Two bed,"Stillorgan, Dublin",0,0,0,0,0,0,0,0
Detached house,Two bed,"Swords, Dublin",0,0,0,0,0,0,0,0
Detached house,Two bed,Dublin 1,0,0,0,0,0,0,0,0
Detached house,Two bed,"I.F.S.C., Dublin 1",0,0,0,0,0,0,0,0
Detached house,Two bed,"Parnell Street, Dublin 1",0,0,0,0,0,0,0,0
Detached house,Two bed,"Spencer Dock, Dublin 1",0,0,0,0,0,0,0,0
Detached house,Two bed,"Summerhill, Dublin 1",0,0,0,0,0,0,0,0
Detached house,Two bed,Dublin 2,0,0,0,0,0,0,0,0
Detached house,Two bed,"Aungier Street, Dublin 2",0,0,0,0,0,0,0,0
Detached house,Two bed,"Charlemont Street, Dublin 2",0,0,0,0,0,0,0,0
Detached house,Two bed,"Grand Canal Dock, Dublin 2",0,0,0,0,0,0,0,0
Detached house,Two bed,"Grand Canal Square, Dublin 2",0,0,0,0,0,0,0,0
Detached house,Two bed,"Hanover Quay, Dublin 2",0,0,0,0,0,0,0,0
Detached house,Two bed,"Lower Mount Street, Dublin 2",0,0,0,0,0,0,0,0
Detached house,Two bed,"Pearse Street, Dublin 2",0,0,0,0,0,0,0,0
Detached house,Two bed,"Tara Street, Dublin 2",0,0,0,0,0,0,0,0
Detached house,Two bed,"Temple Bar, Dublin 2",0,0,0,0,0,0,0,0
Detached house,Two bed,"Townsend Street, Dublin 2",0,0,0,0,0,0,0,0
Detached house,Two bed,Dublin 3,0,0,0,0,0,0,0,0
Detached house,Two bed,"Clonliffe, Dublin 3",0,0,0,0,0,0,0,0
Detached house,Two bed,"Clontarf, Dublin 3",0,0,0,0,0,0,0,0
Detached house,Two bed,"Drumcondra, Dublin 3",0,0,0,0,0,0,0,0
Detached house,Two bed,"East Wall, Dublin 3",0,0,0,0,0,0,0,0
Detached house,Two bed,"Eastwall, Dublin 3",0,0,0,0,0,0,0,0
Detached house,Two bed,"Fairview, Dublin 3",0,0,0,0,0,0,0,0
Detached house,Two bed,"Marino, Dublin 3",0,0,0,0,0,0,0,0
Detached house,Two bed,"North Strand, Dublin 3",0,0,0,0,0,0,0,0
Detached house,Two bed,Dublin 4,0,0,0,0,0,0,0,0
Detached house,Two bed,"Ballsbridge, Dublin 4",0,0,0,0,0,0,0,0
Detached house,Two bed,"Donnybrook, Dublin 4",0,0,0,0,0,0,0,0
Detached house,Two bed,"Irishtown, Dublin 4",0,0,0,0,0,0,0,0
Detached house,Two bed,"Merrion, Dublin 4",0,0,0,0,0,0,0,0
Detached house,Two bed,"Pembroke, Dublin 4",0,0,0,0,0,0,0,0
Detached house,Two bed,"Ringsend, Dublin 4",0,0,0,0,0,0,0,0
Detached house,Two bed,"Sandymount, Dublin 4",0,0,0,0,0,0,0,0
Detached house,Two bed,Dublin 5,0,0,0,0,0,0,0,0
Detached house,Two bed,"Artane, Dublin 5",0,0,0,0,0,0,0,0
Detached house,Two bed,"Killester, Dublin 5",0,0,0,0,0,0,0,0
Detached house,Two bed,"Raheny, Dublin 5",0,0,0,0,0,0,0,0
Detached house,Two bed,Dublin 6,0,0,0,0,0,0,0,0
Detached house,Two bed,"Dartry, Dublin 6",0,0,0,0,0,0,0,0
Detached house,Two bed,"Harolds Cross, Dublin 6",0,0,0,0,0,0,0,0
Detached house,Two bed,"Milltown, Dublin 6",0,0,0,0,0,0,0,0
Detached house,Two bed,"Ranelagh, Dublin 6",0,0,0,0,0,0,0,0
Detached house,Two bed,"Rathgar, Dublin 6",0,0,0,0,0,0,0,0
Detached house,Two bed,"Rathmines, Dublin 6",0,0,0,0,0,0,0,0
Detached house,Two bed,"Terenure, Dublin 6",0,0,0,0,0,0,0,0
Detached house,Two bed,Dublin 6W,0,0,0,0,0,0,0,0
Detached house,Two bed,"Harolds Cross, Dublin 6W",0,0,0,0,0,0,0,0
Detached house,Two bed,"Templeogue, Dublin 6W",0,0,0,0,0,0,0,0
Detached house,Two bed,"Terenure, Dublin 6W",0,0,0,0,0,0,0,0
Detached house,Two bed,Dublin 7,0,0,0,0,0,0,0,0
Detached house,Two bed,"Arbour Hill, Dublin 7",0,0,0,0,0,0,0,0
Detached house,Two bed,"Cabra, Dublin 7",0,0,0,0,0,0,0,0
Detached house,Two bed,"Navan Road, Dublin 7",0,0,0,0,0,0,0,0
Detached house,Two bed,"North Circular Road, Dublin 7",0,0,0,0,0,0,0,0
Detached house,Two bed,"Phibsboro, Dublin 7",0,0,0,0,0,0,0,0
Detached house,Two bed,"Smithfield, Dublin 7",0,0,0,0,0,0,0,0
