"","Date","Price","PostCode"
"1","2010-01-01","343000",""
"2","2010-01-04","438500",""
"3","2010-01-04","425000",""
"4","2010-01-04","430000",""
"5","2010-01-04","355000",""
"6","2010-01-04","1800000",""
"7","2010-01-04","547500",""
"8","2010-01-04","700000",""
"9","2010-01-04","350000",""
"10","2010-01-04","499600",""
"11","2010-01-04","205000",""
"12","2010-01-04","337500",""
"13","2010-01-04","147950",""
"14","2010-01-04","345000","Dublin 14"
"15","2010-01-05","225000","Dublin 2"
"16","2010-01-05","1600000",""
"17","2010-01-05","265198","Dublin 13"
"18","2010-01-05","297000",""
"19","2010-01-05","415000",""
"20","2010-01-05","410000",""
"21","2010-01-05","182556.12","Dublin 12"
"22","2010-01-05","300000","Dublin 12"
"23","2010-01-05","395000",""
"24","2010-01-06","684000","Dublin 4"
"25","2010-01-06","280000",""
"26","2010-01-06","385000",""
"27","2010-01-06","250000",""
"28","2010-01-06","325000",""
"29","2010-01-06","228000",""
"30","2010-01-07","515000","Dublin 14"
"31","2010-01-07","140000",""
"32","2010-01-07","272500",""
"33","2010-01-07","289950",""
"34","2010-01-08","251000","Dublin 9"
"35","2010-01-08","620000",""
"36","2010-01-08","220000","Dublin 24"
"37","2010-01-08","298000","Dublin 24"
"38","2010-01-08","195000",""
"39","2010-01-08","359700","Dublin 15"
"40","2010-01-08","200000","Dublin 22"
"41","2010-01-08","275000","Dublin 5"
"42","2010-01-08","467500","Dublin 18"
"43","2010-01-08","302500",""
"44","2010-01-08","325000","Dublin 24"
"45","2010-01-08","375000",""
"46","2010-01-08","290000","Dublin 24"
"47","2010-01-08","330000","Dublin 13"
"48","2010-01-08","352000",""
"49","2010-01-08","525000",""
"50","2010-01-08","220000",""
"51","2010-01-08","286334",""
"52","2010-01-08","285000",""
"53","2010-01-08","284000",""
"54","2010-01-08","310000",""
"55","2010-01-08","820000",""
"56","2010-01-08","153000","Dublin 24"
"57","2010-01-08","252500","Dublin 6"
"58","2010-01-08","177685.95","Dublin 13"
"59","2010-01-11","247948",""
"60","2010-01-11","322500",""
"61","2010-01-11","930000",""
"62","2010-01-11","184000","Dublin 22"
"63","2010-01-11","240000",""
"64","2010-01-11","131250","Dublin 6w"
"65","2010-01-12","800000",""
"66","2010-01-12","356000",""
"67","2010-01-12","285000",""
"68","2010-01-12","275000",""
"69","2010-01-12","222500",""
"70","2010-01-12","640000",""
"71","2010-01-12","332599.11",""
"72","2010-01-12","290000","Dublin 13"
"73","2010-01-12","290000","Dublin 13"
"74","2010-01-12","215000",""
"75","2010-01-12","380000",""
"76","2010-01-12","1475000",""
"77","2010-01-12","594714",""
"78","2010-01-13","500000","Dublin 14"
"79","2010-01-13","345000",""
"80","2010-01-13","750000",""
"81","2010-01-13","250000",""
"82","2010-01-13","124669",""
"83","2010-01-13","124669.6",""
"84","2010-01-13","470000",""
"85","2010-01-13","151750",""
"86","2010-01-13","70000",""
"87","2010-01-13","227000","Dublin 7"
"88","2010-01-13","190000",""
"89","2010-01-13","169950",""
"90","2010-01-13","248898.68",""
"91","2010-01-14","270000","Dublin 16"
"92","2010-01-14","149735.68",""
"93","2010-01-14","214097","Dublin 18"
"94","2010-01-14","182000",""
"95","2010-01-14","185000","Dublin 12"
"96","2010-01-14","167400.88",""
"97","2010-01-14","216750",""
"98","2010-01-14","200000",""
"99","2010-01-14","275000",""
"100","2010-01-14","405000",""
