Date of Sale (dd/mm/yyyy),Address,Postal Code,County,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description
"01/06/2010","1 Chapel Lane, Skerries, Co Dublin","","Dublin","€150,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/06/2010","105 Time Place, 21 Corrig Road, Sandyford","","Dublin","€176,460.00","No","Yes","New Dwelling house /Apartment","less than 38 sq metres"
"01/06/2010","16 The Cove, Kellys Bay, Skerries","","Dublin","€275,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/06/2010","18 O'Donnell Gardens, Glasthule","","Dublin","€342,500.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/06/2010","187 Barton Road East, Dundrum","Dublin 14","Dublin","€385,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/06/2010","19 Carrigmore Park, Tallaght, Dublin 24","","Dublin","€225,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/06/2010","24 Holywell, Stillorgan","","Dublin","€545,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/06/2010","25 Woodbrook Court, Castleknock","","Dublin","€230,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/06/2010","25Earlsfort Road, Lucan, Dublin","","Dublin","€272,500.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/06/2010","27 Celtic Park Road, off Collins Avenue, Whitehall","","Dublin","€305,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/06/2010","29 BEECHFIELD DRIVE, CASTAHEANY, DUBLIN 15","","Dublin","€250,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/06/2010","32 DeanSwift Green, Glasnevin","Dublin 11","Dublin","€290,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/06/2010","37 Carnlough Road, Cabra, Dublin 7","Dublin 7","Dublin","€190,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/06/2010","4 Dundrum House Castle, Dundrum","","Dublin","€165,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/06/2010","47 EARLSFORT RISE, LUCAN","","Dublin","€187,500.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/06/2010","6 Cabinteely Court, Cabinteely","","Dublin","€390,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/06/2010","78 Shanganagh Grove, Shankill","","Dublin","€360,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/06/2010","8 Hope Street, Ringsend","Dublin 4","Dublin","€166,500.00","No","No","Second-Hand Dwelling house /Apartment",""
