PropertyType,Location,Year,Rent,CPI,Price-Rent-Ratio,VacancyRate,HousingStock
Detached house,Dublin,2008,1693.36,47.33,123.4,0,1960000
Detached house,"Blackrock, Dublin",2008,1937.5,47.33,123.4,0,1960000
Detached house,"Killiney, Dublin",2008,0,47.33,123.4,0,1960000
Detached house,"Lucan, Dublin",2008,1536.44,47.33,123.4,0,1960000
Detached house,"Malahide, Dublin",2008,0,47.33,123.4,0,1960000
Detached house,"Stillorgan, Dublin",2008,0,47.33,123.4,0,1960000
Detached house,"Swords, Dublin",2008,0,47.33,123.4,0,1960000
Detached house,Dublin 4,2008,2349.9,47.33,123.4,0,1960000
Detached house,"Ballsbridge, Dublin 4",2008,0,47.33,123.4,0,1960000
Detached house,Dublin 5,2008,0,47.33,123.4,0,1960000
Detached house,Dublin 6,2008,1950.48,47.33,123.4,0,1960000
Detached house,Dublin 7,2008,0,47.33,123.4,0,1960000
Detached house,Dublin 9,2008,0,47.33,123.4,0,1960000
Detached house,Dublin 12,2008,0,47.33,123.4,0,1960000
Detached house,Dublin 13,2008,1564.52,47.33,123.4,0,1960000
Detached house,Dublin 14,2008,1943.25,47.33,123.4,0,1960000
Detached house,"Rathfarnham, Dublin 14",2008,0,47.33,123.4,0,1960000
Detached house,Dublin 15,2008,1335.28,47.33,123.4,0,1960000
Detached house,"Castleknock, Dublin 15",2008,0,47.33,123.4,0,1960000
Detached house,"Clonsilla, Dublin 15",2008,0,47.33,123.4,0,1960000
Detached house,Dublin 16,2008,1600.9,47.33,123.4,0,1960000
Detached house,Dublin 18,2008,2129.25,47.33,123.4,0,1960000
Detached house,"Foxrock, Dublin 18",2008,0,47.33,123.4,0,1960000
Detached house,Dublin 24,2008,1224.04,47.33,123.4,0,1960000
Detached house,"Tallaght, Dublin 24",2008,0,47.33,123.4,0,1960000
Semi detached house,Dublin,2008,1355.61,47.33,123.4,0,1960000
Semi detached house,"Balbriggan, Dublin",2008,1112.39,47.33,123.4,0,1960000
Semi detached house,"Blackrock, Dublin",2008,1644.53,47.33,123.4,0,1960000
Semi detached house,"Booterstown, Dublin",2008,1783.4,47.33,123.4,0,1960000
Semi detached house,"Citywest, Dublin",2008,0,47.33,123.4,0,1960000
Semi detached house,"Dalkey, Dublin",2008,0,47.33,123.4,0,1960000
Semi detached house,"Donabate, Dublin",2008,1278.9,47.33,123.4,0,1960000
Semi detached house,"Dun Laoghaire, Dublin",2008,1484.88,47.33,123.4,0,1960000
Semi detached house,"Glenageary, Dublin",2008,0,47.33,123.4,0,1960000
Semi detached house,"Killiney, Dublin",2008,1525.76,47.33,123.4,0,1960000
Semi detached house,"Kinsealy, Dublin",2008,1285,47.33,123.4,0,1960000
Semi detached house,"Lucan, Dublin",2008,1241.39,47.33,123.4,0,1960000
Semi detached house,"Lusk, Dublin",2008,1138.66,47.33,123.4,0,1960000
Semi detached house,"Malahide, Dublin",2008,1502.47,47.33,123.4,0,1960000
Semi detached house,"Monkstown, Dublin",2008,1329.45,47.33,123.4,0,1960000
Semi detached house,"Mount Merrion, Dublin",2008,0,47.33,123.4,0,1960000
Semi detached house,"Portmarnock, Dublin",2008,0,47.33,123.4,0,1960000
Semi detached house,"Rathcoole, Dublin",2008,0,47.33,123.4,0,1960000
Semi detached house,"Rush, Dublin",2008,1112.32,47.33,123.4,0,1960000
Semi detached house,"Saggart, Dublin",2008,1311.5,47.33,123.4,0,1960000
Semi detached house,"Sandycove, Dublin",2008,0,47.33,123.4,0,1960000
Semi detached house,"Shankill, Dublin",2008,1405.38,47.33,123.4,0,1960000
Semi detached house,"Skerries, Dublin",2008,1135.21,47.33,123.4,0,1960000
Semi detached house,"Stepaside, Dublin",2008,0,47.33,123.4,0,1960000
Semi detached house,"Stillorgan, Dublin",2008,1643.39,47.33,123.4,0,1960000
Semi detached house,"Swords, Dublin",2008,1298.68,47.33,123.4,0,1960000
Semi detached house,Dublin 1,2008,1260.92,47.33,123.4,0,1960000
Semi detached house,Dublin 3,2008,1390.91,47.33,123.4,0,1960000
Semi detached house,"Clonliffe, Dublin 3",2008,0,47.33,123.4,0,1960000
Semi detached house,"Clontarf, Dublin 3",2008,1484.82,47.33,123.4,0,1960000
Semi detached house,"Drumcondra, Dublin 3",2008,0,47.33,123.4,0,1960000
Semi detached house,"East Wall, Dublin 3",2008,0,47.33,123.4,0,1960000
Semi detached house,"Eastwall, Dublin 3",2008,0,47.33,123.4,0,1960000
Semi detached house,"Fairview, Dublin 3",2008,0,47.33,123.4,0,1960000
Semi detached house,"Marino, Dublin 3",2008,0,47.33,123.4,0,1960000
Semi detached house,"North Strand, Dublin 3",2008,0,47.33,123.4,0,1960000
Semi detached house,Dublin 4,2008,1927.29,47.33,123.4,0,1960000
Semi detached house,"Ballsbridge, Dublin 4",2008,2081.67,47.33,123.4,0,1960000
Semi detached house,"Donnybrook, Dublin 4",2008,1981.48,47.33,123.4,0,1960000
Semi detached house,"Ringsend, Dublin 4",2008,0,47.33,123.4,0,1960000
Semi detached house,"Sandymount, Dublin 4",2008,1883.24,47.33,123.4,0,1960000
Semi detached house,Dublin 5,2008,1345.46,47.33,123.4,0,1960000
Semi detached house,"Artane, Dublin 5",2008,1347.52,47.33,123.4,0,1960000
Semi detached house,"Killester, Dublin 5",2008,1458.87,47.33,123.4,0,1960000
Semi detached house,"Raheny, Dublin 5",2008,1381.5,47.33,123.4,0,1960000
Semi detached house,Dublin 6,2008,1544.54,47.33,123.4,0,1960000
Semi detached house,"Harolds Cross, Dublin 6",2008,1441.61,47.33,123.4,0,1960000
Semi detached house,"Milltown, Dublin 6",2008,0,47.33,123.4,0,1960000
Semi detached house,"Ranelagh, Dublin 6",2008,1577.52,47.33,123.4,0,1960000
Semi detached house,"Rathgar, Dublin 6",2008,1521.91,47.33,123.4,0,1960000
Semi detached house,"Rathmines, Dublin 6",2008,1524.46,47.33,123.4,0,1960000
Semi detached house,"Terenure, Dublin 6",2008,0,47.33,123.4,0,1960000
Semi detached house,Dublin 6W,2008,1633.51,47.33,123.4,0,1960000
Semi detached house,"Harolds Cross, Dublin 6W",2008,1716.99,47.33,123.4,0,1960000
Semi detached house,"Templeogue, Dublin 6W",2008,1556.82,47.33,123.4,0,1960000
Semi detached house,"Terenure, Dublin 6W",2008,1661.54,47.33,123.4,0,1960000
