"","Year","Rent","PropertyType","Location.x","NumberofBedrooms","Location.y","CPI","Price.Rent.Ratio","VacancyRate","HousingStock"
"1",2008,1015.28,"Apartment","Rush, Dublin","1 to 3 bed","Rush, Dublin",47.33,123.4,"0",1960000
"2",2008,1015.28,"Apartment","Rush, Dublin","All bedrooms","Rush, Dublin",47.33,123.4,"0",1960000
"3",2008,1016.28,"Apartment","Dublin 9","All bedrooms","Dublin 9",47.33,123.4,"0",1960000
"4",2008,1023.1,"Apartment","Skerries, Dublin","1 to 3 bed","Skerries, Dublin",47.33,123.4,"0",1960000
"5",2008,1023.1,"Apartment","Skerries, Dublin","All bedrooms","Skerries, Dublin",47.33,123.4,"0",1960000
"6",2008,1024.07,"Apartment","Donabate, Dublin","1 to 3 bed","Donabate, Dublin",47.33,123.4,"0",1960000
"7",2008,1024.07,"Apartment","Donabate, Dublin","All bedrooms","Donabate, Dublin",47.33,123.4,"0",1960000
"8",2008,1035.58,"Apartment","Ballymun, Dublin 11","1 to 3 bed","Ballymun, Dublin 11",47.33,123.4,"0",1960000
"9",2008,1035.58,"Apartment","Ballymun, Dublin 11","All bedrooms","Ballymun, Dublin 11",47.33,123.4,"0",1960000
"10",2008,1038.6,"Apartment","Rathcoole, Dublin","All bedrooms","Rathcoole, Dublin",47.33,123.4,"0",1960000
"11",2008,1038.6,"Apartment","Rathcoole, Dublin","1 to 3 bed","Rathcoole, Dublin",47.33,123.4,"0",1960000
"12",2008,1055.92,"Apartment","Rathgar, Dublin 6","All bedrooms","Rathgar, Dublin 6",47.33,123.4,"0",1960000
"13",2008,1063.58,"Apartment","Clonee, Dublin 15","All bedrooms","Clonee, Dublin 15",47.33,123.4,"0",1960000
"14",2008,1074.81,"Terrace house","Balbriggan, Dublin","All bedrooms","Balbriggan, Dublin",47.33,123.4,"0",1960000
"15",2008,1075.55,"Apartment","Phibsboro, Dublin 7","All bedrooms","Phibsboro, Dublin 7",47.33,123.4,"0",1960000
"16",2008,1079,"Apartment","Glasnevin, Dublin 9","1 to 3 bed","Glasnevin, Dublin 9",47.33,123.4,"0",1960000
"17",2008,1079,"Apartment","Glasnevin, Dublin 9","All bedrooms","Glasnevin, Dublin 9",47.33,123.4,"0",1960000
"18",2008,1080.59,"Apartment","Clondalkin, Dublin 22","All bedrooms","Clondalkin, Dublin 22",47.33,123.4,"0",1960000
"19",2008,1082.61,"Apartment","Ongar, Dublin 15","1 to 3 bed","Ongar, Dublin 15",47.33,123.4,"0",1960000
"20",2008,1082.61,"Apartment","Ongar, Dublin 15","All bedrooms","Ongar, Dublin 15",47.33,123.4,"0",1960000
"21",2008,1084.97,"Terrace house","Dublin 10","All bedrooms","Dublin 10",47.33,123.4,"0",1960000
"22",2008,1085.5,"Apartment","Harolds Cross, Dublin 6W","All bedrooms","Harolds Cross, Dublin 6W",47.33,123.4,"0",1960000
"23",2008,1086.36,"Terrace house","Skerries, Dublin","All bedrooms","Skerries, Dublin",47.33,123.4,"0",1960000
"24",2008,1088.52,"Apartment","Ballymun, Dublin 9","1 to 3 bed","Ballymun, Dublin 9",47.33,123.4,"0",1960000
"25",2008,1088.52,"Apartment","Ballymun, Dublin 9","All bedrooms","Ballymun, Dublin 9",47.33,123.4,"0",1960000
"26",2008,1095.24,"Apartment","Clonsilla, Dublin 15","All bedrooms","Clonsilla, Dublin 15",47.33,123.4,"0",1960000
"27",2008,1095.83,"Apartment","Fairview, Dublin 3","All bedrooms","Fairview, Dublin 3",47.33,123.4,"0",1960000
"28",2008,1101.71,"Apartment","Citywest, Dublin 24","1 to 3 bed","Citywest, Dublin 24",47.33,123.4,"0",1960000
"29",2008,1101.71,"Apartment","Citywest, Dublin 24","All bedrooms","Citywest, Dublin 24",47.33,123.4,"0",1960000
"30",2008,1107.33,"Apartment","St Margarets Road, Dublin 11","All bedrooms","St Margarets Road, Dublin 11",47.33,123.4,"0",1960000
"31",2008,1107.33,"Apartment","St Margarets Road, Dublin 11","1 to 3 bed","St Margarets Road, Dublin 11",47.33,123.4,"0",1960000
"32",2008,1110.88,"Apartment","Tallaght, Dublin 24","All bedrooms","Tallaght, Dublin 24",47.33,123.4,"0",1960000
"33",2008,1112.32,"Semi detached house","Rush, Dublin","All bedrooms","Rush, Dublin",47.33,123.4,"0",1960000
"34",2008,1112.39,"Semi detached house","Balbriggan, Dublin","All bedrooms","Balbriggan, Dublin",47.33,123.4,"0",1960000
"35",2008,1112.99,"Apartment","Glasnevin, Dublin 11","1 to 3 bed","Glasnevin, Dublin 11",47.33,123.4,"0",1960000
"36",2008,1112.99,"Apartment","Glasnevin, Dublin 11","All bedrooms","Glasnevin, Dublin 11",47.33,123.4,"0",1960000
"37",2008,1113.08,"Apartment","Crumlin, Dublin 12","All bedrooms","Crumlin, Dublin 12",47.33,123.4,"0",1960000
"38",2008,1113.08,"Apartment","Crumlin, Dublin 12","1 to 3 bed","Crumlin, Dublin 12",47.33,123.4,"0",1960000
"39",2008,1114.72,"Apartment","Dublin 10","All bedrooms","Dublin 10",47.33,123.4,"0",1960000
"40",2008,1114.72,"Apartment","Dublin 10","1 to 3 bed","Dublin 10",47.33,123.4,"0",1960000
"41",2008,1119.34,"Terrace house","Clonee, Dublin 15","All bedrooms","Clonee, Dublin 15",47.33,123.4,"0",1960000
"42",2008,1119.42,"Apartment","Dublin 11","All bedrooms","Dublin 11",47.33,123.4,"0",1960000
"43",2008,1122.01,"Apartment","Lucan, Dublin","All bedrooms","Lucan, Dublin",47.33,123.4,"0",1960000
"44",2008,1123.52,"Apartment","Swords, Dublin","All bedrooms","Swords, Dublin",47.33,123.4,"0",1960000
"45",2008,1126.81,"Terrace house","Ballyfermot, Dublin 10","All bedrooms","Ballyfermot, Dublin 10",47.33,123.4,"0",1960000
"46",2008,1127.95,"Terrace house","Clonsilla, Dublin 15","All bedrooms","Clonsilla, Dublin 15",47.33,123.4,"0",1960000
"47",2008,1131.72,"Apartment","Kinsealy, Dublin","1 to 3 bed","Kinsealy, Dublin",47.33,123.4,"0",1960000
"48",2008,1131.72,"Apartment","Kinsealy, Dublin","All bedrooms","Kinsealy, Dublin",47.33,123.4,"0",1960000
"49",2008,1135.21,"Semi detached house","Skerries, Dublin","All bedrooms","Skerries, Dublin",47.33,123.4,"0",1960000
"50",2008,1135.99,"Apartment","Portobello, Dublin 8","1 to 3 bed","Portobello, Dublin 8",47.33,123.4,"0",1960000
"51",2008,1135.99,"Apartment","Portobello, Dublin 8","All bedrooms","Portobello, Dublin 8",47.33,123.4,"0",1960000
"52",2008,1137.78,"Apartment","Dublin 24","All bedrooms","Dublin 24",47.33,123.4,"0",1960000
"53",2008,1138.66,"Semi detached house","Lusk, Dublin","All bedrooms","Lusk, Dublin",47.33,123.4,"0",1960000
"54",2008,1140.64,"Apartment","Blanchardstown, Dublin 15","All bedrooms","Blanchardstown, Dublin 15",47.33,123.4,"0",1960000
"55",2008,1142.27,"Apartment","Aungier Street, Dublin 2","1 to 2 bed","Aungier Street, Dublin 2",47.33,123.4,"0",1960000
"56",2008,1142.27,"Apartment","Aungier Street, Dublin 2","All bedrooms","Aungier Street, Dublin 2",47.33,123.4,"0",1960000
"57",2008,1142.27,"Apartment","Aungier Street, Dublin 2","1 to 3 bed","Aungier Street, Dublin 2",47.33,123.4,"0",1960000
"58",2008,1143.01,"Apartment","Dublin 7","All bedrooms","Dublin 7",47.33,123.4,"0",1960000
"59",2008,1148.91,"Apartment","Finglas, Dublin 11","All bedrooms","Finglas, Dublin 11",47.33,123.4,"0",1960000
"60",2008,1151.74,"Apartment","Porterstown, Dublin 15","All bedrooms","Porterstown, Dublin 15",47.33,123.4,"0",1960000
"61",2008,1151.74,"Apartment","Porterstown, Dublin 15","1 to 3 bed","Porterstown, Dublin 15",47.33,123.4,"0",1960000
"62",2008,1151.79,"Apartment","Navan Road, Dublin 7","1 to 3 bed","Navan Road, Dublin 7",47.33,123.4,"0",1960000
"63",2008,1151.79,"Apartment","Navan Road, Dublin 7","All bedrooms","Navan Road, Dublin 7",47.33,123.4,"0",1960000
"64",2008,1153.08,"Terrace house","Clondalkin, Dublin 22","All bedrooms","Clondalkin, Dublin 22",47.33,123.4,"0",1960000
"65",2008,1154.51,"Apartment","Beaumont, Dublin 9","All bedrooms","Beaumont, Dublin 9",47.33,123.4,"0",1960000
"66",2008,1157.3,"Terrace house","Dublin 1","All bedrooms","Dublin 1",47.33,123.4,"0",1960000
"67",2008,1157.42,"Apartment","Kilmainham , Dublin 8","All bedrooms","Kilmainham , Dublin 8",47.33,123.4,"0",1960000
"68",2008,1158.01,"Apartment","Dublin 20","All bedrooms","Dublin 20",47.33,123.4,"0",1960000
"69",2008,1163.34,"Apartment","Dublin 8","All bedrooms","Dublin 8",47.33,123.4,"0",1960000
"70",2008,1164.17,"Terrace house","Lusk, Dublin","All bedrooms","Lusk, Dublin",47.33,123.4,"0",1960000
"71",2008,1164.17,"Terrace house","Lusk, Dublin","1 to 3 bed","Lusk, Dublin",47.33,123.4,"0",1960000
"72",2008,1165.45,"Apartment","Carpenterstown, Dublin 15","1 to 3 bed","Carpenterstown, Dublin 15",47.33,123.4,"0",1960000
"73",2008,1165.45,"Apartment","Carpenterstown, Dublin 15","All bedrooms","Carpenterstown, Dublin 15",47.33,123.4,"0",1960000
"74",2008,1166.46,"Apartment","Chapelizod, Dublin 20","All bedrooms","Chapelizod, Dublin 20",47.33,123.4,"0",1960000
"75",2008,1168.27,"Apartment","Ranelagh, Dublin 6","All bedrooms","Ranelagh, Dublin 6",47.33,123.4,"0",1960000
"76",2008,1168.5,"Terrace house","Blanchardstown, Dublin 15","All bedrooms","Blanchardstown, Dublin 15",47.33,123.4,"0",1960000
"77",2008,1174.15,"Semi detached house","Mulhuddart, Dublin 15","All bedrooms","Mulhuddart, Dublin 15",47.33,123.4,"0",1960000
"78",2008,1175,"Apartment","Donaghmede, Dublin 13","All bedrooms","Donaghmede, Dublin 13",47.33,123.4,"0",1960000
"79",2008,1175,"Apartment","Donaghmede, Dublin 13","1 to 3 bed","Donaghmede, Dublin 13",47.33,123.4,"0",1960000
"80",2008,1175,"Apartment","Donaghmede, Dublin 13","1 to 2 bed","Donaghmede, Dublin 13",47.33,123.4,"0",1960000
"81",2008,1175.82,"Apartment","Clongriffin, Dublin 13","All bedrooms","Clongriffin, Dublin 13",47.33,123.4,"0",1960000
