Year,Location,Rent,PropertyType,NumberofBedrooms,CPI,Price.Rent.Ratio,VacancyRate,HousingStock
2008,"Artane, Dublin 5",1265.9,Apartment,All bedrooms,47.33,123.4,0,1960000
2008,"Artane, Dublin 5",1273.52,Terrace house,All bedrooms,47.33,123.4,0,1960000
2008,"Artane, Dublin 5",1347.52,Semi detached house,All bedrooms,47.33,123.4,0,1960000
2008,"Ashtown, Dublin 15",1243.43,Apartment,1 to 3 bed,47.33,123.4,0,1960000
2008,"Ashtown, Dublin 15",1243.43,Apartment,All bedrooms,47.33,123.4,0,1960000
2008,"Aungier Street, Dublin 2",1142.27,Apartment,1 to 2 bed,47.33,123.4,0,1960000
2008,"Aungier Street, Dublin 2",1142.27,Apartment,All bedrooms,47.33,123.4,0,1960000
2008,"Aungier Street, Dublin 2",1142.27,Apartment,1 to 3 bed,47.33,123.4,0,1960000
2008,"Balbriggan, Dublin",1074.81,Terrace house,All bedrooms,47.33,123.4,0,1960000
2008,"Balbriggan, Dublin",1112.39,Semi detached house,All bedrooms,47.33,123.4,0,1960000
2008,"Balbriggan, Dublin",946.02,Apartment,All bedrooms,47.33,123.4,0,1960000
2008,"Baldoyle, Dublin 13",1200.22,Apartment,All bedrooms,47.33,123.4,0,1960000
2008,"Baldoyle, Dublin 13",1317.65,Terrace house,All bedrooms,47.33,123.4,0,1960000
2008,"Baldoyle, Dublin 13",1454.17,Semi detached house,All bedrooms,47.33,123.4,0,1960000
2008,"Ballinteer, Dublin 16",1364,Apartment,1 to 3 bed,47.33,123.4,0,1960000
2008,"Ballinteer, Dublin 16",1364,Apartment,All bedrooms,47.33,123.4,0,1960000
2008,"Ballinteer, Dublin 16",1434.29,Semi detached house,All bedrooms,47.33,123.4,0,1960000
2008,"Ballsbridge, Dublin 4",1564.28,Apartment,All bedrooms,47.33,123.4,0,1960000
2008,"Ballsbridge, Dublin 4",1904.3,Terrace house,All bedrooms,47.33,123.4,0,1960000
2008,"Ballsbridge, Dublin 4",2081.67,Semi detached house,All bedrooms,47.33,123.4,0,1960000
2008,"Ballsbridge, Dublin 4",895.45,Other flats,All bedrooms,47.33,123.4,0,1960000
2008,"Ballsbridge, Dublin 4",895.45,Other flats,1 to 3 bed,47.33,123.4,0,1960000
2008,"Ballycullen, Dublin 24",1195.32,Apartment,All bedrooms,47.33,123.4,0,1960000
2008,"Ballycullen, Dublin 24",1195.32,Apartment,1 to 3 bed,47.33,123.4,0,1960000
2008,"Ballycullen, Dublin 24",1410.67,Semi detached house,All bedrooms,47.33,123.4,0,1960000
2008,"Ballyfermot, Dublin 10",1126.81,Terrace house,All bedrooms,47.33,123.4,0,1960000
2008,"Ballyfermot, Dublin 10",1195.68,Semi detached house,1 to 3 bed,47.33,123.4,0,1960000
2008,"Ballyfermot, Dublin 10",1195.68,Semi detached house,All bedrooms,47.33,123.4,0,1960000
2008,"Ballymun, Dublin 11",1035.58,Apartment,1 to 3 bed,47.33,123.4,0,1960000
2008,"Ballymun, Dublin 11",1035.58,Apartment,All bedrooms,47.33,123.4,0,1960000
