Year,Location,PropertyType,NumberofBedrooms,VacancyRate,CPI,Price.Rent.Ratio,HousingStock,Rent
2008,"Artane, Dublin 5",Apartment,All bedrooms,0,47.33,123.4,1960000,1265.9
2008,"Artane, Dublin 5",Terrace house,All bedrooms,0,47.33,123.4,1960000,1273.52
2008,"Artane, Dublin 5",Semi detached house,All bedrooms,0,47.33,123.4,1960000,1347.52
2008,"Ashtown, Dublin 15",Apartment,1 to 3 bed,0,47.33,123.4,1960000,1243.43
2008,"Ashtown, Dublin 15",Apartment,All bedrooms,0,47.33,123.4,1960000,1243.43
2008,"Aungier Street, Dublin 2",Apartment,1 to 2 bed,0,47.33,123.4,1960000,1142.27
2008,"Aungier Street, Dublin 2",Apartment,All bedrooms,0,47.33,123.4,1960000,1142.27
2008,"Aungier Street, Dublin 2",Apartment,1 to 3 bed,0,47.33,123.4,1960000,1142.27
2008,"Balbriggan, Dublin",Terrace house,All bedrooms,0,47.33,123.4,1960000,1074.81
2008,"Balbriggan, Dublin",Semi detached house,All bedrooms,0,47.33,123.4,1960000,1112.39
2008,"Balbriggan, Dublin",Apartment,All bedrooms,0,47.33,123.4,1960000,946.02
2008,"Baldoyle, Dublin 13",Apartment,All bedrooms,0,47.33,123.4,1960000,1200.22
2008,"Baldoyle, Dublin 13",Terrace house,All bedrooms,0,47.33,123.4,1960000,1317.65
2008,"Baldoyle, Dublin 13",Semi detached house,All bedrooms,0,47.33,123.4,1960000,1454.17
2008,"Ballinteer, Dublin 16",Apartment,1 to 3 bed,0,47.33,123.4,1960000,1364
2008,"Ballinteer, Dublin 16",Apartment,All bedrooms,0,47.33,123.4,1960000,1364
2008,"Ballinteer, Dublin 16",Semi detached house,All bedrooms,0,47.33,123.4,1960000,1434.29
2008,"Ballsbridge, Dublin 4",Apartment,All bedrooms,0,47.33,123.4,1960000,1564.28
2008,"Ballsbridge, Dublin 4",Terrace house,All bedrooms,0,47.33,123.4,1960000,1904.3
2008,"Ballsbridge, Dublin 4",Semi detached house,All bedrooms,0,47.33,123.4,1960000,2081.67
2008,"Ballsbridge, Dublin 4",Other flats,All bedrooms,0,47.33,123.4,1960000,895.45
2008,"Ballsbridge, Dublin 4",Other flats,1 to 3 bed,0,47.33,123.4,1960000,895.45
2008,"Ballycullen, Dublin 24",Apartment,All bedrooms,0,47.33,123.4,1960000,1195.32
2008,"Ballycullen, Dublin 24",Apartment,1 to 3 bed,0,47.33,123.4,1960000,1195.32
2008,"Ballycullen, Dublin 24",Semi detached house,All bedrooms,0,47.33,123.4,1960000,1410.67
2008,"Ballyfermot, Dublin 10",Terrace house,All bedrooms,0,47.33,123.4,1960000,1126.81
